Term,Description
ДПК ,ДПК - двенадцатиперстная кишка 
ДТЗ ,ДТЗ - диффузный токсический зоб 
ДЭ ,ДЭ - дисциркуляторная энцефалопатия 
Джексона мембрана ,Джексона мембрана - тонкая обильно снабженная сосудами перепонка между внутренним краем восходящей ободочной кишки и париетальной брюшиной; может оказаться причиной кишечной непроходимости 
ЖВП ,ЖВП - желчевыводящие пути 
ЖДА ,ЖДА - железодефицитная анемия 
ЖЕЛ ,ЖЕЛ - жизненная ёмкость легких 
ЖКБ ,ЖКБ - желчнокаменная болезнь 
ЖКТ ,ЖКТ - желудочно-кишечный тракт 
ИАПФ ,ИАПФ - ингибиторы ангиотензин-превращающего фермента 
ИБС ,"Ишемическая болезнь сердца (ИБС) - патологическое состояние, характеризующееся абсолютным или относительным нарушением кровоснабжения миокарда вследствие поражения коронарных артерий0 "
ИВГ ,"ИВГ - инцизионная вентральная грыжа - грыжа, возникающая на месте шва, оставшегося от сделанной ранее хирургической операции на органах брюшной полости "
ИВЛ ,ИВЛ - искусственная вентиляция легких 
ИМТ ,"Индекс массы тела (ИМТ) - величина, позволяющая оценить степень соответствия массы человека и его роста и, тем самым, косвенно оценить, является ли масса недостаточной, нормальной или избыточной. Индекс массы тела рассчитывается по формуле: I= m/h², где: m — масса тела в килограммах, h — рост в метрах, и измеряется в кг/м² "
ИПП ,"ИПП (ИПН) - ингибиторы протонной помпы. Лекарственное вещество, уменьшающее секрецию желудочной соляной кислоты путем блокирования протонного насоса в обкладочных (париетальных) клетках желудочных желез.5 "
ИФА ,"ИФА - иммуноферментный анализ - лабораторный иммунологический метод качественного или количественного определения различных соединений, макромолекул, вирусов и пр., в основе которого лежит специфическая реакция антиген-антитело "
Иктеричность ,"Иктеричность, по другому - желтушность "
Интеркуррентное заболевание ,"Заболевание, возникающее на фоне уже имеющейся болезни и по происхождению не связанное с ней. "
ЙДЗ ,ЙДЗ - йододефицитные заболевания 
КДД ,КДД - конечное диастолическое давление 
КТ ,"Компьютерная томография (КТ) - метод неразрушающего послойного исследования внутренней структуры объекта, основанный на измерении и сложной компьютерной обработке разности ослабления рентгеновского излучения различными по плотности тканями. "
КТВР ,КТВР - компьютерная томография высокого разрешения 
КЩС ,"КЩС - кислотно-щелочное состояние - баланс кислот и оснований, т. е. соотношение водородных и гидроксильных ионов в биологических средах организма (крови, межклеточной и спинномозговой жидкостях и др.)3 "
Конечно-диастолическое давление ,"Давление, которое кровь, находящаяся в определенной полости сердца, оказывает на ее стенки к концу диастолы. "
Короткова метод ,"Короткова метод (Н. С. Коротков, 1874-1920, росс. врач) - непрямой метод измерения артериального давления, основанный на постепенном снижении давления воздуха в резиновой манжете, наложенной на конечность, и регистрации величины этого давления в моменты появления и исчезновения тонов Короткова (короткие четкие звуки, выслушиваемые над артерией дистальнее уровня ее неполного пережатая в случае, если давление в пережимающей манжете находится в пределах между систолическим и диастолическим артериальным давлением в данном сосуде) "
Ку-лихорадка ,"Ку-лихорадка - острая инфекционная природно-очаговая болезнь из группы риккетсиозов, вызываемая риккетсией Бернета (Coxiella burneti), передающаяся воздушно-капельным, алиментарным или контактным путем; характеризуется поражением ретикулоэндотелиальной системы, интоксикацией, лихорадкой, часто - интерстициальной пневмонией "
Курлинга язва ,"Язва Курлинга - язва желудка или двенадцатиперстной кишки, возникающая в результате серьезной травмы или обширного ожога этих органов "
Кушинга язва ,"Кушинга язва - язва желудка или двенадцатиперстной кишки, иногда развивающаяся при поражении центральной нервной системы, например после черепно-мозговой травмы "
ЛАШ ,ЛАШ - лекарственный анафилактический шок. 
ЛДГ ,ЛДГ - лактатдегидрогеназа 
ЛПВП ,ЛПВП - липопротеины высокой плотности 
ЛПНП ,ЛПНП - липопротеины низкой плотности 
Лимфангит ,Лимфангит - воспаление лимфатических сосудов 
МНО ,"Международное нормализованное отношение (МНО) — лабораторный показатель, определяемыйе для оценки внешнего пути свертывания крови1 "
МРТ ,МРТ - магнитно-резонансная томография0 
МРХПГ ,МРХПГ - магнитно-резонансная холангиопанкреатография 
Маллори тельца ,"Маллори тельца - ацидофильные глыбки вокруг ядра, образующиеся в цитоплазме (чаще гепатоцитов) при белковой дистрофии "
Менетрие болезнь ,"Болезнь Менетрие (хронический гипертрофический полиаденоматозный гастрит) — заболевание, характеризующееся значительной гипертрофией (переразвитием) слизистой оболочки желудка и тонкой кишки с последующим развитием в ней аденом и кист "
Мерфи симптом ,"Мерфи симптом - 1) Непроизвольная задержка дыхания на вдохе при давлении на область правого подреберья; признак поражения желчного пузыря. 2) Появление небольшой зоны притупления перкуторного звука в правой подвздошной области при остром аппендиците, свидетельствующее о начавшемся местном перитоните "
Н. pylori ,"Helicobacter pylori (традиционная транскрипция — геликобактер пилори) - спиралевидная грамотрицательная бактерия, которая инфицирует различные области желудка и двенадцатиперстной кишки.8 "
НПС ,"НПС (кардиальный сфинктер)- нижний пищеводный сфинктер (круговая мышца, разделяющая пищевод и желудок) "
НРГ ,"НРГ - неспецифический реактивный гепатит - диффузное воспалительно-дистрофическое поражение печени, возникающее при тяжелых заболеваниях органов пищеварения, системных заболеваниях соединительной ткани, воздействиях ионизирующего излучения "
НТН ,НТН - невралгия тройничного нерва 
НФГ ,НФГ - нефракционированный гепарин 
НЯК ,НЯК - неспецифический язвенный колит 
Нейролептаналгезия ,"Метод обезболивания, основанный на сочетанном применении нейролептических средств и наркотических анальгетиков. "
Нестероидные противовоспалительные препараты ,"Нестероидные противовоспалительные препараты (нестероидные противовоспалительные средства/агенты, НПВП, НПВС, НСПВП, NSAID) — группа лекарственных средств, обладающих обезболивающим, жаропонижающим и противовоспалительным эффектами, уменьшают боль, лихорадку и воспаление.7 "
Нефротический синдром ,"Сочетание отеков с массивной протеинурией, гипо- и диспротеинемией, гиперхолестеринемией; наблюдается при поражениях почек. "
ОЖСС ,ОЖСС - общая железосвязывающая способность сыворотки крови 
ОКС ,ОКС - острый коронарный синдром 
ОПН ,"ОПН - острая почечная недостаточность - синдром нарушения всех функций почек, приводящий к расстройству водного, электролитного, азотистого и других видов обмена "
ОПСС ,ОПСС - общее периферическое сопротивление сосудов (общее сопротивление всей сосудистой системы выбрасываемому сердцем потоку крови) 
ОРДС ,"О́стрый респирато́рный дистре́сс-синдро́м (ОРДС, респираторный дистресс-синдром взрослых) — жизнеугрожающее воспалительное поражение лёгких, характеризующееся диффузной инфильтрацией и тяжёлой гипоксемией. "
ОРИТ ,ОРИТ - отделение реанимации и интенсивной терапии 
ОРЛ ,ОРЛ - острая ревматическая лихорадка 
ОФВ1 ,"ОФВ1 - объем форсированного выдоха за первую секунду маневра форсированного выдоха; показатель, оцениваемый при проведении спирометрии "
ОЦК ,ОЦК - объем циркулирующей крови4 
ПДКВ ,ПДКВ - положительное давление в конце выдоха 
ПМК ,ПМК - пролапс митрального клапана - систолическое выпячивание его створок в левое предсердие; линия их смыкания при этом оказывается выше плоскости клапанного кольца 
ПМСП ,ПМСП - первичная медико-санитарная помощь9 
ПНМК ,ПНМК - преходящее нарушение мозгового кровообращения 
ПНТ ,ПНТ - пароксизмальная наджелудочковая тахикардия 
ПСВ ,ПСВ - пиковая скорость выдоха 
ПСХ ,ПСХ - первичный склерозирующий холангит 
ПФПР ,ПФПР - подслизистый фиброз полости рта 
ПЦР ,ПЦР - полимеразная цепная реакция6 
Патогномоничные ,Патогномоничный - характерный для данной болезни (о признаке).8 
Патогномоничный симптом ,"Симптом патогномоничный — симптом, однозначно описывающий определенную болезнь, причина для постановки диагноза. "
Перистальтика ,"Периста́льтика (др.-греч. περισταλτικός — обхватывающий и сжимающий) — волнообразное сокращение стенок полых трубчатых органов (пищевода, желудка, кишечника, мочеточников и др.), способствующее продвижению их содержимого к выходным отверстиям "
Полихимиотерапия ,Лечение больных с помощью комплекса различных химиотерапевтических средств. 
РИТ ,"РИТ - Реакция иммобилизации бледных трепонем - серологическая реакция диагностики сифилиса. В основе реакции лежит способность сыворотки больного сифилисом обездвиживать бледные трепонемы, в то время как сыворотка здоровых людей этой способностью не обладает. Имеет высокие специфичность и чувствительность "
РИФ ,"РИФ - реакция иммунофлюоресценции - метод выявления антител к известным антигенам, основанный на микроскопии окрашенных специальным образом мазков и других образцов тканей "
РН ,"РН - реакция нейтрализации вируса - является одной из основных серологических реакций, широко используется для диагностики различных вирусных болезней "
РНГА ,РНГА - реакция непрямой гемагглютинации - используется для определения концентрации вируснейтрализующих антител в сыворотке крови и смывах со слизистой оболочки дыхательных путей 
РНИФ ,РНИФ - реакция непрямой иммунофлюоресценции 
РОПГА ,РОПГА - реакция обратной пассивной гемагглютинации 
РПГА ,РПГА - реакция пассивной гемагглютинации 
РСВ ,РСВ - респираторно-синцитиальный вирус 
РСК ,"РСК - реакция связывания комплемента - серологическая реакция, применяющаяся для выявления в сыворотке крови специфических антител к антигенам возбудителей инфекционных заболеваний "
РТГА ,РТГА - реакция торможения гемагглютинации - серологический метод идентификации вируса или выявления противовирусных антител в сыворотке крови больного 
СГЛЖ ,СГЛЖ - синдром гипоплазии левого желудочка 
СЖПР ,СЖПР - синдром жжения полости рта 
СКФ ,СКФ - скорость клубочковой фильтрации 
СОЖ ,СОЖ - слизистая оболочка желудка 
СОЭ ,"СОЭ - скорость оседания эритроцитов (неспецифический лабораторный показатель крови, отражающий соотношение фракций белков плазмы)4 "
СРБ ,"СРБ (С-реактивный белок) - это белок плазмы крови, который является маркером острой фазы течения различных воспалительных процессов, быстрым индикатором повреждения тканей и показателем эффективности проводимого лечения. "
ССС ,ССС - сердечно-сосудистая система 
СЭО ,СЭО - средний эритроцитарный объем 
Спазм сфинктера Одди ,"Спазм (дисфункция) сфинктера Одди - заболевание (клиническое состояние), характеризующееся частичным нарушением проходимости протоков жёлчи и панкреатического сока в сфинктере Одди "
Т3 ,Т3 - трийодтиронин (трииодтиронин) — биологически активная форма тиреоидных гормонов щитовидной железы 
Т4 ,Т4 - тироксин — основная форма тиреоидных гормонов щитовидной железы 
ТМС ,ТМС - транспозиция магистральных сосудов 
ТПС ,ТПС - трахеопищеводный свищ 
ТРМТ ,"TPMT - тиопурин метилтрансфераза - цитоплазматический фермент, катализирующий S-метилирование сульфгидрильных соединений, включая многие тиопуриновые лекарственные препараты, такие как тиогуанин, азатиопурин и меркаптопурин "
ТТГ ,ТТГ - тиреотропный гормон (вырабатывается гипофизом и стимулирует образование гормонов щитовидной железы) 
ТЭЛА ,"ТЭЛА - тромбоэмболия легочной артерии (закупорка легочной артерии или ее ветвей тромбами, которые образуются чаще в крупных венах нижних конечностей или таза)0 "
Терапия электроимпульсная ,"Терапия некоторых аритмий, основанная на воздействии на миокард разряда конденсатора высокого напряжения, что ведет к деполяризации всего миокарда и прерывает патологическую циркуляцию в нем волн возбуждения. "
Трофозоит ,Трофозоит ( син. - вегетативная форма) - активная размножающаяся стадия жизненного цикла простейших 
ФВД ,ФВД - функция внешнего дыхания 
ФГДС ,"ФГДС - фиброгастродуоденоскопия (инструментальное исследование пищевода, желудка и двенадцатиперстной кишки с помощью волокнооптического эндоскопа)9 "
ФПН ,ФПН - фульминантная печеночная недостаточность 
ФЭГДС ,"ФЭГДС - фиброэзофагогастродуоденоскопия (один из методов обследования верхнего отдела пищеварительного тракта, который позволяет осмотреть внутреннюю поверхность пищевода, желудка и двенадцатиперстной кишки)2 "
ХАП ,ХАП - хронический алкогольный панкреатит 
ХГД ,ХГД - хронический гастродуоденит 
ХОБЛ ,"Хроническая обструктивная болезнь лёгких (ХОБЛ) - самостоятельное заболевание, для которого характерно частично необратимое ограничение воздушного потока в дыхательных путях8 "
ХПН ,ХПН - хроническая почечная недостаточность 
ЦВД ,Центральное венозное давление (ЦВД) - венозное давление в верхней и нижней полых венах; в норме равно давлению крови в правом предсердии или незначительно превышает его 
ЦИК ,ЦИК - циркулирующие иммунные комплексы 
ЦНС ,ЦНС - центральная нервная система 
Цирроз поджелудочной железы ,"Цирроз поджелудочной железы - образный термин, введенный в 1887 г. по визуальной аналогии поражения поджелудочной железы с циррозом печени "
ЧДД ,ЧДД - частота дыхательных движений 
ЧСС ,ЧСС - частота сердечных сокращений2 
Шенлейна-Геноха пурпура ,"Васкулит геморрагический (син. Шенлейна-Геноха пурпура) - аллергическая болезнь, характеризующаяся системным васкулитом и проявляющаяся симметричными, чаще мелкоточечными кровоизлияниями на коже, иногда в сочетании с болями и отечностью суставов, болями в животе "
ЩЖ ,ЩЖ - щитовидная железа 
ЩФ ,ЩФ - щелочная фосфатаза 
ЭКГ ,"ЭКГ - Электрокардиография (методика регистрации и исследования электрических полей, образующихся при работе сердца)4 "
ЭОС ,ЭОС - электрическая ось сердца 
ЭПСТ ,"ЭПСТ - эндоскопическая папиллосфинктеротомия – малоинвазивная операция, позволяющая устранить патологию большого дуоденального сосочка (папиллостеноз) и удалить камни из желчных протоков при холедохолитиазе, как первичном, так и при постхолецистэктомическом синдроме "
ЭРПХГ ,"ЭРПХГ - эндоскопическая ретроградная панкреатохолангиография - метод исследования желчных протоков и протоков поджелудочной железы, основанный на их наполнении через эндоскоп рентгенконтрастным веществом и наблюдении через рентгеновскую установку "
ЭРХПГ ,ЭРХПГ - эндоскопическая ретроградная холангиопанкреатография2 
ЭЭГ ,"Электроэнцефалография (ЭЭГ) - метод функционального исследования головного мозга, основанный на графической регистрации его биопотенциалов "
ЯБЖ ,"Язвенная болезнь желудка - это мультифакториальное хроническое заболевание, сопровождающееся образованием язв в желудке с возможным прогрессированием и развитием осложнений. "
абдоминальная гетеротаксия ,"Абдоминальная гетеротаксия - изменения внутренних органов брюшной полости, характеризующееся различными врождёнными аномалиями "
абдоминального ,"Абдоминальный - брюшной, относящийся к животу. "
абдоминального отдела пищевода ,"Абдоминальный отдел пищевода - отдел пищевода, находящийся в брюшной полости. "
аберрантный ,"Аберрантный - отклоняющийся от нормального строения, расположения или состояния "
абляция ,Абляция - хирургическая операция удаления органа или какой-либо части тела 
абстиненция ,"Абстиненция - состояние, возникающее в результате внезапного прекращения приема (введения) веществ, вызвавших токсикоманическую зависимость, или после введения их антагонистов. "
абсцесс ,"Абсцесс - полость, заполненная гноем и отграниченная от окружающих тканей и органов пиогенной мембраной8 "
абсцесс легкого ,"Абсцесс легкого - абсцесс, развивающийся в легочной ткани как осложнение пневмонии, реже - в результате заноса возбудителей гнойной инфекции гематогенным, лимфогенным путем или с инородным телом "
агенезия желчного пузыря ,"Агенезия желчного пузыря - редкая врожденная аномалия, представляющая собой отсутствие желчного пузыря. "
агранулоцитозе ,"Агранулоцитоз - синдром, характеризующийся отсутствием гранулоцитов (лейкоцит, в цитоплазме которого при окрашивании выявляется зернистость) в периферической крови или уменьшением их количества ниже 750 в 1 мкл. "
агрегация ,Агрегация - свойство тромбоцитов соединятся друг с другом. 
адвентиция ,"Адвентиция - 1) Наружная оболочка стенки вены или артерии. Состоит из соединительной ткани, снабженной сетью малых кровеносных сосудов, питающих ее; 2) Наружная оболочка различных трубчатых органов человека "
