icd_10,DOID,MESH,ULMS,Alternateids,Name,Name_DO,Descriptions,probs,gender,pharmgkb_ids,symptoms,symptoms_mesh_id,sympotoms_tf_idfs,names_ru,descriptions_ru,symptoms_ru,symptoms_ru_no_stat
N89.6,,,,,tight hymenal ring,,,4.72147149038273e-05,female,,,,,Плотная девственная плева,,,
N89.7,,['MESH:D006399'],['UMLS_CUI:C0018934'],,,,['Hematocolpos'],4.72147149038273e-05,female,,"['Abdominal Pain', 'Anoxia', 'Syncope', 'Muscle Spasticity', 'Pain', 'Back Pain', 'Low Back Pain', 'Sciatica', 'Abdomen, Acute', 'Pelvic Pain', 'Constipation', 'Urinary Incontinence', 'Dysmenorrhea']","['MESH:D015746', 'MESH:D000860', 'MESH:D013575', 'MESH:D009128', 'MESH:D010146', 'MESH:D001416', 'MESH:D017116', 'MESH:D012585', 'MESH:D000006', 'MESH:D017699', 'MESH:D003248', 'MESH:D014549', 'MESH:D004412']","[19.515124597390383, 1.00198857170747, 1.4908914275297522, 1.7272802055939829, 1.3175468345229604, 4.587714076717528, 1.5904210228767852, 2.1694092980737385, 7.188000652397642, 2.041078125176324, 3.1878309870531183, 1.6175293416348633, 11.040419014896354]",Гематокольпос,,"['Боль в животе', 'Аноксия', 'синкопе, обморок', 'Мышечная спастичность', 'Боль', 'Боль в спине', 'боль низа спины, Люмбаго', 'радикулит', 'острая боль живота', 'Боль в области таза', 'констипация, обстипация, коп-ростаз, запор', 'Недержание мочи', 'Дисменорея']",
N89.8,DOID:3766,['MESH:D007973'],['UMLS_CUI:C0023533'],,other specified noninflammatory disorders of vagina,leukorrhea,['Leukorrhea NOS'],4.72147149038273e-05,female,,,,,Другие невоспалительные болезни влагалища,,,
N89.9,,,,,"noninflammatory disorder of vagina, unspecified",,,4.72147149038273e-05,female,,,,,Невоспалительная болезнь влагалища неуточненная,,,
N90.0,,,,,mild vulvar dysplasia,,,6.440478735603565e-05,female,,,,,Слабовыраженная дисплазия вульвы,,,
N90.1,,,,,moderate vulvar dysplasia,,,6.440478735603565e-05,female,,,,,Умеренная дисплазия вульвы,,,"вагинальный зуд, боль в половых органах, изменения кожи половых губ, дискомфорт или боль во время секса"
N90.3,,,,,,,,6.440478735603565e-05,female,,,,,Дисплазия вульвы неуточненная,,,
N90.4,DOID:14292,"['MESH:D007724', 'MESH:D007724']","['UMLS_CUI:C0013426', 'UMLS_CUI:C0022783', 'UMLS_CUI:C0022783']",,leukoplakia of vulva,vulvar dystrophy,"['Leukoplakia of vulva', 'Kraurosis of vulva']",6.440478735603565e-05,female,,,,,Лейкоплакия вульвы,,,
N90.5,DOID:14275,,['UMLS_CUI:C0156393'],,atrophy of vulva,atrophic vulva,,6.440478735603565e-05,female,,,,,Атрофия вульвы,,,"жжение зуд сухость кожи гениталий, дискомфорт во время полового акта, атрофические изменения тканей наружных половых органов"
N91.0,,,,,,,,0.0001636485573094,female,,,,,Первичная аменорея,,,
N91.1,,,,,,,,0.0001636485573094,female,,,,,Вторичная аменорея,,,"боли внизу живота, психические нарушения, ожирение, вегетативные нарушения "
N91.2,DOID:13938,['MESH:D000568'],['UMLS_CUI:C0002453'],,"amenorrhea, unspecified",amenorrhea,"['Amenorrhea, unspecified']",0.0001636485573094,female,PA443324,,,,Аменорея неуточненная,,,"длительное отсутствие менструаций, головная боль, общая слабость, нарушение зрения, жирная кожа, угри, избыточное оволосение."
N91.3,,,,,,,,0.0001636485573094,female,,,,,Первичная олигоменорея,,,
N91.4,,,,,,,,0.0001636485573094,female,,,,,Вторичная олигоменорея,,,"нарушение менструального цикла, мужское телосложение, гирсутизм (повышенный рост волос по мужскому типу), повышенное потоотделение, повышенная утомляемость, депрессивные состояния, нервозность"
N91.5,,"['MESH:D009839', 'MESH:D008599']","['UMLS_CUI:C0028949', 'UMLS_CUI:C0020624']",,"oligomenorrhea, unspecified",,"['Oligomenorrhea, unspecified', 'Hypomenorrhea NOS']",0.0001636485573094,female,,"['Body Weight', 'Obesity', 'Obesity, Morbid', 'Thinness', 'Virilism', 'Hirsutism', 'Dysmenorrhea', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Dyspnea', 'Hemoptysis', 'Weight Gain', 'Obesity', 'Edema', 'Sleep Disorders', 'Asthenia', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Eye Hemorrhage', 'Hot Flashes', 'Learning Disorders', 'Confusion', 'Memory Disorders', 'Mental Retardation', 'Hallucinations', 'Muscle Cramp', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Hemiplegia', 'Paresis', 'Psychophysiologic Disorders', 'Dizziness', 'Paresthesia', 'Vertigo', 'Abdomen, Acute', 'Chest Pain', 'Pelvic Pain', 'Constipation', 'Bulimia', 'Vomiting', 'Pruritus', 'Purpura, Thrombocytopenic', 'Purpura, Thrombotic Thrombocytopenic', 'Virilism', 'Spasm', 'Urinary Incontinence, Stress', 'Flushing', 'Syncope, Vasovagal', 'Postoperative Nausea and Vomiting', 'Hirsutism', 'Amblyopia', 'Dysmenorrhea']","['MESH:D001835', 'MESH:D009765', 'MESH:D009767', 'MESH:D013851', 'MESH:D014770', 'MESH:D006628', 'MESH:D004412', 'MESH:D005334', 'MESH:D001835', 'MESH:D001724', 'MESH:D015431', 'MESH:D018908', 'MESH:D012640', 'MESH:D015746', 'MESH:D000855', 'MESH:D009325', 'MESH:D004417', 'MESH:D006469', 'MESH:D015430', 'MESH:D009765', 'MESH:D004487', 'MESH:D012893', 'MESH:D001247', 'MESH:D004614', 'MESH:D050177', 'MESH:D009767', 'MESH:D013851', 'MESH:D005130', 'MESH:D019584', 'MESH:D007859', 'MESH:D003221', 'MESH:D008569', 'MESH:D008607', 'MESH:D006212', 'MESH:D009120', 'MESH:D010146', 'MESH:D001416', 'MESH:D017116', 'MESH:D006261', 'MESH:D009437', 'MESH:D006429', 'MESH:D010291', 'MESH:D011602', 'MESH:D004244', 'MESH:D010292', 'MESH:D014717', 'MESH:D000006', 'MESH:D002637', 'MESH:D017699', 'MESH:D003248', 'MESH:D002032', 'MESH:D014839', 'MESH:D011537', 'MESH:D011696', 'MESH:D011697', 'MESH:D014770', 'MESH:D013035', 'MESH:D014550', 'MESH:D005483', 'MESH:D019462', 'MESH:D020250', 'MESH:D006628', 'MESH:D000550', 'MESH:D004412']","[3.086890624302885, 11.655751122899352, 1.75293995237456, 2.6705996098560565, 4.454111986346777, 64.57677814968228, 2.7601047537240886, 2.4757505291331867, 18.178355898672542, 2.8142618860094, 7.000375979668221, 0.992991081702862, 3.380667702085656, 4.24241839073704, 3.650521227908373, 6.832518444984839, 1.005221681539617, 10.1824461812215, 13.380207666084472, 44.95789718832608, 4.7670247528230565, 2.9859978197386337, 2.0632192510535368, 1.8326407212518088, 1.6477441991016823, 1.75293995237456, 10.682398439424226, 5.505284065044999, 13.622843958060136, 1.7353123772912469, 1.5089482112769952, 1.4679976076638996, 4.527233420363571, 3.4465763686488904, 2.2425601797093533, 7.246507589876282, 2.293857038358764, 3.1808420457535704, 8.845642547118906, 1.5383141060813592, 2.589264725784032, 1.2877357838329555, 35.58013521968348, 8.054828534468873, 4.074054438449337, 1.5962519431875786, 2.875200260959057, 2.1991216607129846, 14.287546876234266, 1.5939154935265591, 8.29157131002792, 2.5305379962761627, 2.9318842169636072, 1.4149055205518302, 2.1840386080896974, 24.49761592490727, 1.3672774715625755, 2.8021759676447764, 2.6140121352265933, 3.1825674382008247, 3.420099726967134, 149.0233341915745, 2.5635282297946014, 231.84879931282347]",Олигоменорея неуточненная,,"['Вес тела', 'ожирение, тучность, фактор насыщения', 'Ожирение', 'худоба', 'вирилизм, маскулинизм', 'гирсутизм', 'Дисменорея', 'Высокая температура, температура', 'Вес тела', 'Вес при рождении', 'потеря веса', 'Мышечная слабость', 'Судороги', 'Боль в животе', 'анорексия', 'тошнота, рвота ', 'одышка', 'кровохарканье', 'Увеличение веса', 'ожирение, тучность, фактор насыщения', 'отёк, водянка', 'Нарушения сна', 'Астения', 'кахексия, истощение, атрофия общая', 'Избыточный вес', 'Ожирение', 'худоба', 'Кровоизлияние в глаз', 'горячие вспышки', 'Расстройства обучения', 'спутанное сознание', 'Расстройства памяти', 'Умственная отсталость', 'Галлюцинации', 'Мышечная судорога', 'Боль', 'Боль в спине', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'невралгия, нейродиния', 'гемиплегия', 'Парез', 'Психофизиологические расстройства', 'головокружение', 'парестезия, спонтанно возникающее неприятное ощущение онемения, покалывания, жжения ', 'вертиго, головокружение', 'острая боль живота', 'Боль в груди', 'Боль в области таза', 'констипация, обстипация, коп-ростаз, запор', 'булимия', 'рвотный рефлекс, глоточный рефлекс', 'зуд, зудящий, чесотка', 'Пурпура тромбоцитопеническая идиопатическая', 'Пурпура тромботическая тромбоцитопеническая', 'вирилизм, маскулинизм', 'спазм', 'Недержание мочи', 'Промывка', 'вазовагальный обморок', 'Послеоперационная тошнота и рвота', 'гирсутизм', 'амблиопия, ослабление зрения', 'Дисменорея']",
N92.0,,"['MESH:D008595', 'MESH:D008595', 'MESH:D008599']","['UMLS_CUI:C0025323', 'UMLS_CUI:C0025323', 'UMLS_CUI:C0032519']",,excessive and frequent menstruation with regular cycle,,"['Menorrhagia NOS', 'Heavy periods NOS', 'Polymenorrhea']",0.000430998148286,female,,"['Body Weight', 'Abdominal Pain', 'Nausea', 'Obesity', 'Diarrhea', 'Obesity, Morbid', 'Hot Flashes', 'Aphasia', 'Learning Disorders', 'Syncope', 'Mental Retardation', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Hemiplegia', 'Psychophysiologic Disorders', 'Dizziness', 'Tinnitus', 'Vertigo', 'Angina, Unstable', 'Pain, Postoperative', 'Pelvic Pain', 'Ecchymosis', 'Purpura', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Urinary Incontinence', 'Skin Manifestations', 'Urinary Incontinence, Stress', 'Flushing', 'Dysmenorrhea', 'Body Weight', 'Abdominal Pain', 'Nausea', 'Obesity', 'Diarrhea', 'Obesity, Morbid', 'Hot Flashes', 'Aphasia', 'Learning Disorders', 'Syncope', 'Mental Retardation', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Hemiplegia', 'Psychophysiologic Disorders', 'Dizziness', 'Tinnitus', 'Vertigo', 'Angina, Unstable', 'Pain, Postoperative', 'Pelvic Pain', 'Ecchymosis', 'Purpura', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Urinary Incontinence', 'Skin Manifestations', 'Urinary Incontinence, Stress', 'Flushing', 'Dysmenorrhea', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Muscle Weakness', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Dyspnea', 'Hemoptysis', 'Weight Gain', 'Obesity', 'Edema', 'Sleep Disorders', 'Asthenia', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Eye Hemorrhage', 'Hot Flashes', 'Learning Disorders', 'Confusion', 'Memory Disorders', 'Mental Retardation', 'Hallucinations', 'Muscle Cramp', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Hemiplegia', 'Paresis', 'Psychophysiologic Disorders', 'Dizziness', 'Paresthesia', 'Vertigo', 'Abdomen, Acute', 'Chest Pain', 'Pelvic Pain', 'Constipation', 'Bulimia', 'Vomiting', 'Pruritus', 'Purpura, Thrombocytopenic', 'Purpura, Thrombotic Thrombocytopenic', 'Virilism', 'Spasm', 'Urinary Incontinence, Stress', 'Flushing', 'Syncope, Vasovagal', 'Postoperative Nausea and Vomiting', 'Hirsutism', 'Amblyopia', 'Dysmenorrhea']","['MESH:D001835', 'MESH:D015746', 'MESH:D009325', 'MESH:D009765', 'MESH:D003967', 'MESH:D009767', 'MESH:D019584', 'MESH:D001037', 'MESH:D007859', 'MESH:D013575', 'MESH:D008607', 'MESH:D010146', 'MESH:D001416', 'MESH:D017116', 'MESH:D006261', 'MESH:D006429', 'MESH:D011602', 'MESH:D004244', 'MESH:D014012', 'MESH:D014717', 'MESH:D000789', 'MESH:D010149', 'MESH:D017699', 'MESH:D004438', 'MESH:D011693', 'MESH:D011696', 'MESH:D016553', 'MESH:D011697', 'MESH:D014549', 'MESH:D012877', 'MESH:D014550', 'MESH:D005483', 'MESH:D004412', 'MESH:D001835', 'MESH:D015746', 'MESH:D009325', 'MESH:D009765', 'MESH:D003967', 'MESH:D009767', 'MESH:D019584', 'MESH:D001037', 'MESH:D007859', 'MESH:D013575', 'MESH:D008607', 'MESH:D010146', 'MESH:D001416', 'MESH:D017116', 'MESH:D006261', 'MESH:D006429', 'MESH:D011602', 'MESH:D004244', 'MESH:D014012', 'MESH:D014717', 'MESH:D000789', 'MESH:D010149', 'MESH:D017699', 'MESH:D004438', 'MESH:D011693', 'MESH:D011696', 'MESH:D016553', 'MESH:D011697', 'MESH:D014549', 'MESH:D012877', 'MESH:D014550', 'MESH:D005483', 'MESH:D004412', 'MESH:D005334', 'MESH:D001835', 'MESH:D001724', 'MESH:D015431', 'MESH:D018908', 'MESH:D012640', 'MESH:D015746', 'MESH:D000855', 'MESH:D009325', 'MESH:D004417', 'MESH:D006469', 'MESH:D015430', 'MESH:D009765', 'MESH:D004487', 'MESH:D012893', 'MESH:D001247', 'MESH:D004614', 'MESH:D050177', 'MESH:D009767', 'MESH:D013851', 'MESH:D005130', 'MESH:D019584', 'MESH:D007859', 'MESH:D003221', 'MESH:D008569', 'MESH:D008607', 'MESH:D006212', 'MESH:D009120', 'MESH:D010146', 'MESH:D001416', 'MESH:D017116', 'MESH:D006261', 'MESH:D009437', 'MESH:D006429', 'MESH:D010291', 'MESH:D011602', 'MESH:D004244', 'MESH:D010292', 'MESH:D014717', 'MESH:D000006', 'MESH:D002637', 'MESH:D017699', 'MESH:D003248', 'MESH:D002032', 'MESH:D014839', 'MESH:D011537', 'MESH:D011696', 'MESH:D011697', 'MESH:D014770', 'MESH:D013035', 'MESH:D014550', 'MESH:D005483', 'MESH:D019462', 'MESH:D020250', 'MESH:D006628', 'MESH:D000550', 'MESH:D004412']","[0.6859756942895301, 3.3939347125896315, 2.27750614832828, 0.8325536516356681, 0.9231881310823103, 5.25881985712368, 3.4057109895150344, 1.810661814533033, 1.7353123772912469, 1.4908914275297522, 0.9054466840727144, 3.623253794938141, 3.440785557538145, 1.5904210228767852, 4.422821273559453, 1.2946323628920158, 1.482505634153478, 1.3424714224114789, 1.9740336225473256, 1.5962519431875786, 2.2425601797093533, 6.711421289065839, 10.205390625881616, 6.899943699234183, 2.1264372118582675, 11.31924416441464, 1.9338944549569816, 2.1840386080896974, 1.6175293416348633, 0.6123572181015575, 2.8021759676447764, 5.2280242704531865, 118.68450441013584, 0.6859756942895301, 3.3939347125896315, 2.27750614832828, 0.8325536516356681, 0.9231881310823103, 5.25881985712368, 3.4057109895150344, 1.810661814533033, 1.7353123772912469, 1.4908914275297522, 0.9054466840727144, 3.623253794938141, 3.440785557538145, 1.5904210228767852, 4.422821273559453, 1.2946323628920158, 1.482505634153478, 1.3424714224114789, 1.9740336225473256, 1.5962519431875786, 2.2425601797093533, 6.711421289065839, 10.205390625881616, 6.899943699234183, 2.1264372118582675, 11.31924416441464, 1.9338944549569816, 2.1840386080896974, 1.6175293416348633, 0.6123572181015575, 2.8021759676447764, 5.2280242704531865, 118.68450441013584, 2.4757505291331867, 18.178355898672542, 2.8142618860094, 7.000375979668221, 0.992991081702862, 3.380667702085656, 4.24241839073704, 3.650521227908373, 6.832518444984839, 1.005221681539617, 10.1824461812215, 13.380207666084472, 44.95789718832608, 4.7670247528230565, 2.9859978197386337, 2.0632192510535368, 1.8326407212518088, 1.6477441991016823, 1.75293995237456, 10.682398439424226, 5.505284065044999, 13.622843958060136, 1.7353123772912469, 1.5089482112769952, 1.4679976076638996, 4.527233420363571, 3.4465763686488904, 2.2425601797093533, 7.246507589876282, 2.293857038358764, 3.1808420457535704, 8.845642547118906, 1.5383141060813592, 2.589264725784032, 1.2877357838329555, 35.58013521968348, 8.054828534468873, 4.074054438449337, 1.5962519431875786, 2.875200260959057, 2.1991216607129846, 14.287546876234266, 1.5939154935265591, 8.29157131002792, 2.5305379962761627, 2.9318842169636072, 1.4149055205518302, 2.1840386080896974, 24.49761592490727, 1.3672774715625755, 2.8021759676447764, 2.6140121352265933, 3.1825674382008247, 3.420099726967134, 149.0233341915745, 2.5635282297946014, 231.84879931282347]",Обильные и частые менструации при регулярном цикле,,"['Вес тела', 'Боль в животе', 'тошнота, рвота ', 'ожирение, тучность, фактор насыщения', 'диарея, понос', 'Ожирение', 'горячие вспышки', 'афазия, афразия, алогия, логагнозия, логастения, словесная глухота ', 'Расстройства обучения', 'синкопе, обморок', 'Умственная отсталость', 'Боль', 'Боль в спине', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'гемиплегия', 'Психофизиологические расстройства', 'головокружение', 'шум в ушах', 'вертиго, головокружение', 'нестабильная стенокардия', 'Послеоперационная боль', 'Боль в области таза', 'экхимоз, кровоподтёк', 'Пурпура', 'Пурпура тромбоцитопеническая идиопатическая', 'тромбоцитопеническая идиопатическая пурпура', 'Пурпура тромботическая тромбоцитопеническая', 'Недержание мочи', 'Кожные проявления', 'Недержание мочи', 'Промывка', 'Дисменорея', 'Вес тела', 'Боль в животе', 'тошнота, рвота ', 'ожирение, тучность, фактор насыщения', 'диарея, понос', 'Ожирение', 'горячие вспышки', 'афазия, афразия, алогия, логагнозия, логастения, словесная глухота ', 'Расстройства обучения', 'синкопе, обморок', 'Умственная отсталость', 'Боль', 'Боль в спине', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'гемиплегия', 'Психофизиологические расстройства', 'головокружение', 'шум в ушах', 'вертиго, головокружение', 'нестабильная стенокардия', 'Послеоперационная боль', 'Боль в области таза', 'экхимоз, кровоподтёк', 'Пурпура', 'Пурпура тромбоцитопеническая идиопатическая', 'тромбоцитопеническая идиопатическая пурпура', 'Пурпура тромботическая тромбоцитопеническая', 'Недержание мочи', 'Кожные проявления', 'Недержание мочи', 'Промывка', 'Дисменорея', 'Высокая температура, температура', 'Вес тела', 'Вес при рождении', 'потеря веса', 'Мышечная слабость', 'Судороги', 'Боль в животе', 'анорексия', 'тошнота, рвота ', 'одышка', 'кровохарканье', 'Увеличение веса', 'ожирение, тучность, фактор насыщения', 'отёк, водянка', 'Нарушения сна', 'Астения', 'кахексия, истощение, атрофия общая', 'Избыточный вес', 'Ожирение', 'худоба', 'Кровоизлияние в глаз', 'горячие вспышки', 'Расстройства обучения', 'спутанное сознание', 'Расстройства памяти', 'Умственная отсталость', 'Галлюцинации', 'Мышечная судорога', 'Боль', 'Боль в спине', 'боль низа спины, Люмбаго', 'головная боль, цефалгия', 'невралгия, нейродиния', 'гемиплегия', 'Парез', 'Психофизиологические расстройства', 'головокружение', 'парестезия, спонтанно возникающее неприятное ощущение онемения, покалывания, жжения ', 'вертиго, головокружение', 'острая боль живота', 'Боль в груди', 'Боль в области таза', 'констипация, обстипация, коп-ростаз, запор', 'булимия', 'рвотный рефлекс, глоточный рефлекс', 'зуд, зудящий, чесотка', 'Пурпура тромбоцитопеническая идиопатическая', 'Пурпура тромботическая тромбоцитопеническая', 'вирилизм, маскулинизм', 'спазм', 'Недержание мочи', 'Промывка', 'вазовагальный обморок', 'Послеоперационная тошнота и рвота', 'гирсутизм', 'амблиопия, ослабление зрения', 'Дисменорея']",
N92.1,,"['MESH:D008796', 'MESH:D008796']","['UMLS_CUI:C0025874', 'UMLS_CUI:C0025874']",,excessive and frequent menstruation with irregular cycle,,"['Metrorrhagia', 'Irregular intermenstrual bleeding']",0.000430998148286,female,,"['Birth Weight', 'Abdominal Pain', 'Nausea', 'Hemoptysis', 'Obesity', 'Edema', 'Diarrhea', 'Obesity, Morbid', 'Fatigue', 'Consciousness Disorders', 'Syncope', 'Mental Retardation', 'Pain', 'Psychophysiologic Disorders', 'Vision Disorders', 'Blindness', 'Abdomen, Acute', 'Colic', 'Purpura, Thrombocytopenic', 'Dysmenorrhea', 'Birth Weight', 'Abdominal Pain', 'Nausea', 'Hemoptysis', 'Obesity', 'Edema', 'Diarrhea', 'Obesity, Morbid', 'Fatigue', 'Consciousness Disorders', 'Syncope', 'Mental Retardation', 'Pain', 'Psychophysiologic Disorders', 'Vision Disorders', 'Blindness', 'Abdomen, Acute', 'Colic', 'Purpura, Thrombocytopenic', 'Dysmenorrhea']","['MESH:D001724', 'MESH:D015746', 'MESH:D009325', 'MESH:D006469', 'MESH:D009765', 'MESH:D004487', 'MESH:D003967', 'MESH:D009767', 'MESH:D005221', 'MESH:D003244', 'MESH:D013575', 'MESH:D008607', 'MESH:D010146', 'MESH:D011602', 'MESH:D014786', 'MESH:D001766', 'MESH:D000006', 'MESH:D003085', 'MESH:D011696', 'MESH:D004412', 'MESH:D001724', 'MESH:D015746', 'MESH:D009325', 'MESH:D006469', 'MESH:D009765', 'MESH:D004487', 'MESH:D003967', 'MESH:D009767', 'MESH:D005221', 'MESH:D003244', 'MESH:D013575', 'MESH:D008607', 'MESH:D010146', 'MESH:D011602', 'MESH:D014786', 'MESH:D001766', 'MESH:D000006', 'MESH:D003085', 'MESH:D011696', 'MESH:D004412']","[1.4071309430047, 0.8484836781474079, 1.1387530741641398, 1.6970743635369168, 2.4976609549070043, 0.5958780941028821, 0.9231881310823103, 1.75293995237456, 1.1380131555214292, 0.8771292762243725, 1.4908914275297522, 1.810893368145429, 1.9763202517844407, 2.9650112683069563, 0.6634894318679091, 1.0981383550099495, 1.4376001304795285, 2.1347473163728203, 7.074527602759152, 11.040419014896354, 1.4071309430047, 0.8484836781474079, 1.1387530741641398, 1.6970743635369168, 2.4976609549070043, 0.5958780941028821, 0.9231881310823103, 1.75293995237456, 1.1380131555214292, 0.8771292762243725, 1.4908914275297522, 1.810893368145429, 1.9763202517844407, 2.9650112683069563, 0.6634894318679091, 1.0981383550099495, 1.4376001304795285, 2.1347473163728203, 7.074527602759152, 11.040419014896354]",Обильные и частые менструации при нерегулярном цикле,,"['Вес при рождении', 'Боль в животе', 'тошнота, рвота ', 'кровохарканье', 'ожирение, тучность, фактор насыщения', 'отёк, водянка', 'диарея, понос', 'Ожирение', 'усталость', 'Расстройства сознания', 'синкопе, обморок', 'Умственная отсталость', 'Боль', 'Психофизиологические расстройства', 'Нарушения зрения', 'Слепота, корковая', 'острая боль живота', 'Колики', 'Пурпура тромбоцитопеническая идиопатическая', 'Дисменорея', 'Вес при рождении', 'Боль в животе', 'тошнота, рвота ', 'кровохарканье', 'ожирение, тучность, фактор насыщения', 'отёк, водянка', 'диарея, понос', 'Ожирение', 'усталость', 'Расстройства сознания', 'синкопе, обморок', 'Умственная отсталость', 'Боль', 'Психофизиологические расстройства', 'Нарушения зрения', 'Слепота, корковая', 'острая боль живота', 'Колики', 'Пурпура тромбоцитопеническая идиопатическая', 'Дисменорея']",
N92.2,,,,,excessive menstruation at puberty,,,0.000430998148286,female,,,,,Обильные менструации в пубертатном периоде,,,
N92.3,,,,,ovulation bleeding,,,0.000430998148286,female,,,,,Овуляторные кровотечения,,,скудные кровянистые выделения из половых путей
N92.4,,,,,excessive bleeding in the premenopausal period,,,0.000430998148286,female,,,,,Обильные кровотечения в предменопаузном периоде,,,
N92.5,,,,,other specified irregular menstruation,,,0.000430998148286,female,,,,,Другие уточненные формы нерегулярных менструаций,,,
N92.6,,,,,,,,0.000430998148286,female,,,,,Нерегулярные менструации неуточненные,,,
N94.0,,,,,mittelschmerz,,,0.0002636651003704,female,,,,,Боли в середине менструального цикла,,,"боль в нижних отделах живота, выделения с запахом, высыпания в области половых органов, межменструальные кровянистые выделения"
N95.0,,,,,postmenopausal bleeding,,,0.0025138298641599,female,,,,,Постменопаузные кровотечения,,,
N95.1,,,,,menopausal and female climacteric states,,,0.0025138298641599,female,,,,,Менопаузные и климактерические состояния у женщин,,,
N95.2,DOID:11968,,['UMLS_CUI:C0156409'],,postmenopausal atrophic vaginitis,postmenopausal atrophic vaginitis,,0.0025138298641599,female,,,,,Постменопаузный атрофический вагинит,,,"сухость, боль при половом акте, гинекологическом осмотре, выделения в том числе кровянистые постконтактные, учащенное и болезненное мочеиспускание, возможно подтекание мочи"
N95.8,,,,,other specified menopausal and perimenopausal disorders,,,0.0025138298641599,female,,,,,Другие уточненные нарушения менопаузного и перименопаузного периода,,,
N95.9,,,,,unspecified menopausal and perimenopausal disorder,,,0.0025138298641599,female,,,,,Менопаузные и перименопаузные нарушения неуточненные,,,
N97.0,,,,,female infertility associated with anovulation,,,0.0005332533654555,female,,,,,"Женское бесплодие, связанное с отсутствием овуляции",,,
N97.1,,,,,female infertility of tubal origin,,,0.0005332533654555,female,,,,,Женское бесплодие трубного происхождения,,,
N97.2,DOID:13589,,['UMLS_CUI:C0156416'],,female infertility of uterine origin,female infertility of uterine origin,,0.0005332533654555,female,,,,,Женское бесплодие маточного происхождения,,,
