symp_eng,symp_ru
Vomiting,"рвотный рефлекс, глоточный рефлекс"
"Blindness, Cortical",Слепота корковая
Edema,"отёк, водянка"
"Cardiac Output, Low",низкий сердечный выброс
Fetal Distress,дистресс плода
Renal Colic,Почечная колика
Persistent Vegetative State,Стойкое вегетативное состояние
"Diarrhea, Infantile",Диарея инфантильная
Dysmenorrhea,Дисменорея
Fatigue,усталость
Heartburn,изжога
Necrolytic Migratory Erythema,Некролитическая мигрирующая эритема
Apnea,Апноэ
"Hearing Loss, Functional",функциональная потеря слуха
Tremor,Тремор
"Hearing Loss, Unilateral",односторонняя потеря слуха 
"Reflex, Abnormal",Аномальный рефлекс 
Diarrhea,"диарея, понос"
Hematemesis,кровавая рвота
Aerophagy,"аэрофагия, пневмофагия"
Quadriplegia,"квадриплегия, тетраплегия, паралич рук и ног"
Respiratory Paralysis,Дыхательный паралич
"Aphasia, Broca","Афазия, Брока"
"Purpura, Thrombotic Thrombocytopenic",Пурпура тромботическая тромбоцитопеническая
Oral Hemorrhage,Оральное кровотечение
Muscle Rigidity,"Жесткость мышц, мышечная ригидность "
Muscular Atrophy,Мышечная атрофия
Nausea,"тошнота, рвота "
Fetal Macrosomia,Фетальная макросомия
Dyspnea,одышка
Paresis,Парез
Photophobia,"фотофобия, светобоязнь"
Thinness,худоба
Livedo Reticularis,Ливедо сетчатое
"Vomiting, Anticipatory",Рвота предварительная
Fasciculation,"фасцикуляция, фасцикулярные подёргивания"
Language Disorders,Языковые расстройства
Oliguria,"олигурия, уменьшенное выделение мочи"
Proteinuria,"альбуминурия, протеинурия"
Trismus,тризм
Neurobehavioral Manifestations,Нейроповеденческие проявления
Athetosis,"атетоз, атетоидный гиперкинез, экстрапирамидный мозговой паралич"
Perceptual Disorders,Расстройства восприятия
Paraparesis,парапарез
"Hearing Loss, Noise-Induced",Потеря слуха вызванная шумом
Hemoptysis,кровохарканье
Korsakoff Syndrome,синдром Корсакова
Spasm,спазм
Sarcopenia,саркопения
Sensation Disorders,Расстройства чувствительности
"Pain, Intractable",Непреодолимая боль 
Paralysis,Паралич
Flushing,Промывка
Skin Manifestations,Кожные проявления
Hoarseness,Охриплость
Catatonia,кататония
Unconsciousness,бессознательное состояние
"Vision, Low",низкое зрение
Language Development Disorders,Нарушения языкового развития
Heart Murmurs,Сердечные шумы
"Amnesia, Retrograde",Амнезия ретроградная
Ataxia,"атаксия, диссинергия, дискоординация"
Sleep Disorders,Нарушения сна
"Abdomen, Acute",острая боль живота
"Dyspnea, Paroxysmal",Одышка пароксизмальная
Anisocoria,анизокория
Body Weight,Вес тела
Urinoma,"уринома, киста содержащая мочу"
Urinary Incontinence,Недержание мочи
Hearing Loss,Потеря слуха
"Hearing Loss, Central",центральная потеря слуха
Gastroparesis,гастропарез
Prostatism,"простатизм, синдром нарушения мочеиспускания и расстройств других функций организма при заболеваниях предстательной железы"
Tonic Pupil,"тонизирующий зрачок, частично суженный зрачок"
Orthostatic Intolerance,Ортостатическая непереносимость
Hypothermia,"гипотермия, переохлаждение"
Postoperative Nausea and Vomiting,Послеоперационная тошнота и рвота
Pruritus,"зуд, зудящий, чесотка"
Psychomotor Disorders,Психомоторные расстройства
Hyperemesis Gravidarum,гиперемезис беременных
Cerebellar Ataxia,Мозжечковая атаксия
Hypercapnia,гиперкапния
Gagging,рвотные позывы
Angina Pectoris,Стенокардия
"Urinary Incontinence, Stress",Недержание мочи
Stupor,Ступор
Amaurosis Fugax,преходящая слепота
Fetal Weight,Вес плода
Hemoglobinuria,гемоглобинурия
Dyslexia,дислексия
"Aphasia, Wernicke","Афазия, Вернике"
Eructation,отрыжка
Vocal Cord Paralysis,Паралич голосовых связок
Hypesthesia,гипестезия
Jaundice,желтуха
Learning Disorders,Расстройства обучения
Sneezing,Чихание
Overweight,Избыточный вес
Acute Coronary Syndrome,Острый коронарный синдром
Eye Hemorrhage,Кровоизлияние в глаз
Ecchymosis,"экхимоз, кровоподтёк"
Seizures,Судороги
Myoclonus,Миоклонус
"Edema, Cardiac",Сердечнй отек
Neurologic Manifestations,Неврологические проявления
Mobility Limitation,Ограничение подвижности
Cyanosis,Цианоз
Tetany,тетания
Cerebrospinal Fluid Rhinorrhea,Цереброспинальная жидкая ринорея
Catalepsy,каталепсия
Cerebrospinal Fluid Otorrhea,Цереброспинальная жидкость Оторея
Emaciation,"кахексия, истощение, атрофия общая"
"Supranuclear Palsy, Progressive",Надъядерный паралич прогрессирующий
Cough,Кашель
Hemianopsia,Гемианопсия
Cafe-au-Lait Spots,кофейные пятна
Dyskinesias,Дискинезии
"Akathisia, Drug-Induced",Акатизия индуцированная лекарствами
Dizziness,головокружение
Syncope,"синкопе, обморок"
Memory Disorders,Расстройства памяти
Muscle Spasticity,Мышечная спастичность
Communication Disorders,Коммуникативные расстройства
"Reflex, Babinski","Рефлекс, Бабинский"
Myokymia,"миокиния, киматизм, псевдофас-цикуляция"
Oral Manifestations,Оральные проявления
Labor Pain,родовая боль
Hiccup,икота
Neuralgia,"невралгия, нейродиния"
Scotoma,скотома
"Urinary Incontinence, Urge",Недержание мочи
Albuminuria,"альбуминурия, протеинурия"
Halitosis,дурной запах изо рта
Taste Disorders,Вкусовые расстройства
Neck Pain,Боль в шее
Psychophysiologic Disorders,Психофизиологические расстройства
Illusions,Иллюзии
"Cardiac Output, High",высокий сердечный выброс 
Hyperphagia,Гиперфагия
Flatulence,Метеоризм
Asthenia,Астения
"Obesity, Morbid",Ожирение
Miosis,"миоз, сужение зрачка"
Delirium,делирий
Shoulder Pain,Боль в плече
"Hearing Loss, Bilateral",двусторонняя потеря слуха 
Hyperalgesia,гипералгезия
Flank Pain,Боль в боку
"Paraparesis, Spastic",Парапарез спастический
Hydrops Fetalis,Водянка плода
Nocturia,"никтурия, ночная полиурия"
Mutism,"мутизм, мутацизм"
Hypokinesia,"гипокинезия, гипокинез"
Facial Paralysis,Лицевой паралич
Horner Syndrome,Синдром Хорнера
"Aging, Premature",Преждевременное старение
Blindness,"Слепота, корковая"
"Angina Pectoris, Variant",Стенокардия
Metatarsalgia,"метатарзалгия, синдром Мортона"
Tinnitus,шум в ушах
"Gait Disorders, Neurologic",неврологические нарушения походки
