,Index,Симптомы,МКБ_10
40,Поллиноз,"воспаление слизистой оболочки носа, вызываемое различными аллергенами. Для клинических проявлений аллергического ринита характерны отёк и заложенность носа, выделения, зуд, повторяющиеся многократные чихания. Аллергический ринит, согласно классификации ARIA (международной инициативе по аллергическому риниту и его влиянию на развитие бронхиальной астмы), может быть интермиттирующим (длится 4 или менее дней в неделю и 4 или менее недель в году) и персистирующим (длится более 4 дней в неделю и более 4 недель в году)[2]. Кроме того, в ряде случаев (например, классификация FDA — Администрация по пищевым и лекарственным продуктам США) аллергический ринит различают как сезонный (при сезонном повышении содержания аллергенов в окружающей среде, например в период цветения растений) и круглогодичный (при круглогодичном наличии аллергенов в окружающей среде, например при аллергии на шерсть животных, на домашнюю пыль и т. д.)",J30.1
41,Поллиноз,"Количество людей, страдающих от аллергического ринита, с каждым годом растет. В России в среднем болеют от 12,7% до 24% в зависимости от региона",J30.1
42,Поллиноз,"Высокий риск развития аллергических заболеваний и аллергического ринита, в том числе, отмечается у детей с наследственной предрасположенностью к атопии. Доказано, что частота возникновения аллергического ринита возрастает (до70%), когда мать и отец ребенка имеют атопические заболевания. Если страдает атопическими заболеваниями один из родителей, то риск развития аллергического ринита при этом составляет не менее 50%",J30.1
43,Поллиноз,"В основе аллергического ринита лежат аллергические реакции немедленного типа в ответ на контакт с аллергеном (пыльца растений, домашняя пыль, споры грибов). Провоцировать обострения могут резкие запахи, холодный воздух и др. ",J30.1
44,Поллиноз,"Клиника аллергического ринита характеризуется проявлением приступа чихания, заложенности носа, водянистых выделений из носа после контакта с аллергеном.",J30.1
45,Поллиноз,"Диагноз устанавливают после риноскопического и аллергологического обследования. Среди лабораторных методов выделяют специфические и неспецифические. Неспецифические маркеры это оценка количества эозинофилов в мазке периферической крови, определение сывороточной концентрации общего IgE и цитологическое исследование отделяемого из носа. Позитивные результаты аллерго-обследования (кожное тестирование, пробы с провокацией in vivo, которые в педиатрии проводятся редко, специфические Ige) являются специфическими маркерами аллергического ринита",J30.1
46,Поллиноз,Приступ продолжается в течениенескольких часов после контактас аллергеном.,J30.1
47,Поллиноз,Приступ длится обычно несколько дней и более и приобретаетхронический характер.,J30.1
48,Альвеолярный протеиноз,"редкое заболевание, характеризующееся накоплением в альвеолах белков и липидов сурфактанта, нарушением газообмена и прогрессированием дыхательной недостаточности[3].",J84.0
49,Альвеолярный протеиноз,"Альвеолярный протеиноз является редким заболеванием и встречается примерно в 4 случаях на 1 млн взрослых. В основном страдают люди среднего возраста (20-50 лет), мужчины страдают в 3 раза чаще, чем женщины. В литературе описаны случаи заболевания среди детей и лиц пожилого возраста.",J84.0
50,Альвеолярный протеиноз,"Врожденная форма — обусловлена мутациями генов, кодирующих структуру белков сурфактанта В и С, гена АВСА1-транспортера, а также рецептора гранулоцитарно-моноцитарного колониестимулирующего фактора (ГМ-КСФ);Первичная форма (идиопатическая) — этиология неизвестна. Первичная форма составляет примерно 90% от общего числа всех больных альвеолярным протеинозом, 70 % из которых злостные курильщики;Вторичная форма — развивается вследствие следующих причин: гематологические злокачественные заболевания, иммунодефицитные состояния, хронические инфекции[5].Основным фактором риска развития данного заболевания является курение. По статистике от 56 до 79% всех пациентов с этим заболеванием — курильщики.",J84.0
51,Альвеолярный протеиноз,"Основным звеном патогенеза АП является нарушение обмена сурфактанта. У новорожденных с признаками врожденного АП обычно выявляются определенные генетические причины избыточного накопления сурфактанта в легких: чаще всего это мутации генов, кодирующих структуру белков сурфактанта, либо ГМ-КСФ или его рецептора. У взрослых в 90 % наблюдений доказан аутоиммунный механизм возникновения АП, о чем свидетельствует обнаружение в супернатанте жидкости альвеолярного лаважа или в сыворотке крови поликлональных аутоантител против ГМ-КСФ",J84.0
52,Альвеолярный протеиноз,"Долгое время заболевание протекает скрытно, без симптомов. Ведущими клиническими проявлениями являются:одышка;сухой кашель (иногда со скудной мокротой);субфебрильная температура;боль в груди;быстрая утомляемость;кровохарканье (редко)[3].",J84.0
53,Альвеолярный протеиноз,При прогрессировании заболевание возможно возникновение дыхательной недостаточности.,J84.0
54,Альвеолярный протеиноз,"Течение болезни, как правило, хроническое. По мере прогрессирования хронической формы АП усиливается цианоз, формируются «пальцы Гиппократа». На поздних стадиях возможно присоединение бактериальной или грибковой суперинфекции, развитие легочной гипертензии и формирование в терминальной стадии легочного сердца[",J84.0
55,Альвеолярный протеиноз,"Патогномоничные клинические признаки у заболевания отсутствуют. Диагноз ставится на основании физикальных, лабораторных и инструментальных методах исследования.",J84.0
56,Альвеолярный протеиноз,"Физикальное обследование:Аускультация: ослабленное везикулярное дыхание, иногда — нежные крепитирующие хрипы.Перкуссия: укорочение перкуторного тона преимущественно над нижними легочными полями.Ведущим лабораторным исследованием при АП является иммуноферментный анализ ELISA. Благодаря этому методу у пациентов с идиопатическим АП в сыворотке крови и жидкости бронхоальвеолярного лаважа выявляются антитела к ГМ-КСФ[3].",J84.0
57,Альвеолярный протеиноз,К инструментальным исследованиям относятся:Рентгенография грудной клетки;Функция внешнего дыхания;Фибробронхоскопия[5],J84.0
58,Альвеолярный протеиноз,"Долгое время единственным эффективным методом лечения больных являлся – лечебный тотальный БАЛ, который выполняется в условиях общего наркоза и искусственной вентиляции легких[4].",J84.0
59,Альвеолярный протеиноз,"В настоящее время разрабатываются и апробируются новые варианты медикаментозной терапии. К ним можно отнести применение ритуксимаба — препарата, содержащего синтетические моноклональные антитела к CD20 антигену В-лимфоцитов, а так же лечение рекомбинантным ГМ-КСФ.",J84.0
60,Альвеолярный протеиноз,При врожденных формах возможна трансплантация легких,J84.0
61,Анальный миаз,"Предрасполагающими факторами для развития данного миаза являются заболевания анальной области, нечистоплотность.",B87.8
62,Анальный миаз,"Заражение возможно в связи с проникновением личинок с загрязнённого белья, либо мухи откладывают яйца на перианальную область, откуда личинки вползают в кишечник (так называемый ректальный миаз).",B87.8
63,Анальный миаз,"К ректальному миазу способны личинки Eristalis Tenax (см. Эристалёз)[1], Fannia canicularis (см. Фанниаз), Muscina stabulans (см. Мускиноз)[2] и др.",B87.8
64,Анальный миаз,Анальный миаз вызывают личинки Musca Nebulo[3,B87.8
65,Анальный миаз,Описан анальный миаз у больного раком перианальной области. На болезнь указывают сильные боли в анальной области. Инвазия сопровождалась развитием язв. Лечение заключалось в удалении личинок[,B87.8
66,Анальный миаз,"Выпадение прямой кишки (ректальный пролапс) также может быть предрасполагающим фактором: описан случай миаза при данной патологии. Обследование выявило некроз тканей, пострадавших от личинок. Наблюдался также гной и большое количество личинок. Лечение: удаление личинок под анестезией, обработка ран[",B87.8
67,Анальный миаз,"Лечение: удаление личинок, обработка ран. Прогноз благоприятный.",B87.8
68,Ангидроз,"болезнь, сопровождающаяся нарушениями потоотделения, как правило выражающаяся в болезненном невыделении испарины, либо по всему телу, либо на какой-нибудь отдельной его части. Однако, согласно «ЭСБЕ»: «Есть, впрочем, субъекты, у которых, несмотря на правильно развитые потовые железы, пот не выделяется даже при высоких температурах»",L74.4
69,Ангидроз,"Ангидроз подразделяется на четыре основных вида: «врождённый», «острый», «хронический» и «тропический»",L74.4
70,Ангидроз,"Возможными причинами возникновения ангидроза могут являться:Старение кожиКожные заболевания (дерматит, склеродермия)Повреждение спинного мозгаСахарный диабет (симпатическая нейропатия) или другие формы полиневропатииНаследственные заболевания (например: болезнь Фабри)Психические болезниПобочный эффект вследствие лечения антидепрессантамиЛепраи другие факторы.",L74.4
71,Ангидроз,"Так как потоотделение играет важную роль для рассеивания тепла, обширный ангидроз способен привести к тепловому удару.",L74.4
72,Ангидроз,"Ангидроз может проявляться не только у человека, но и у животных, например у лошадей. В регионе Персидского залива подобное нарушение, в той или иной степени, наблюдается у каждой пятой лошади.",L74.4
73,Анизакидоз,"зоонозный гельминтоз из группы нематодозов, характеризующийся поражением желудочно-кишечного тракта, вызываемый паразитированием личиночных стадий нематод семейства Anisakidae в организме человека.",B81.0
74,Анизакидоз,Основной источник и хозяин-носитель данных гельминтов — морская рыба.,B81.0
75,Анизакидоз,"Взрослые особи данных гельминтов внешне по цвету и форме напоминают аскарид, но значительно меньшего размера: 4-6 см. В теле рыбы находятся чаще в состоянии «плоской свёрнутой спирали». Могут находиться как в полостях тела так и в мышечной ткани (как личинки, так и взрослые особи).",B81.0
76,Анизакидоз,"Первый случай анизакидоза у человека был зафиксирован в Голландии в 1955 году, заражение произошло в результате употребления в пищу слабосолёной сельди",B81.0
77,Анизометропия,"заболевание глаз, выражающееся в значительном отличии рефракции левого и правого глаз друг от друга. Болезнь может протекать с астигматизмом и без него.",H52.3
78,Анизометропия,"При этой аномалии один глаз может иметь нормальную рефракцию, а другой — нарушенную, или оба глаза могут иметь одну и ту же аномалию рефракции, но в различной степени, или же один глаз может быть близоруким, а другой дальнозорким",H52.3
