mkb_cod,mkb_name,class_id
A40.9,Стрептококковая септицемия неуточненная,0104
A41,Другая септицемия,0104
A41.0,"Септицемия, вызванная Staphylococcus aureus",0104
A41.1,"Септицемия, вызванная другим уточненным стафилококком",0104
A41.2,"Септицемия, вызванная неуточненным стафилококком",0104
A41.3,"Септицемия, вызванная Haemophilus influenzae",0104
A41.4,"Септицемия, вызванная анаэробами",0104
A41.5,"Септицемия, вызванная другими грамотрицательными микроорганизмами",0104
A41.8,Другая уточненная септицемия,0104
A41.9,Септицемия неуточненная,0104
A42,Актиномикоз,0104
A42.0,Легочный актиномикоз,0104
A42.1,Абдоминальный актиномикоз,0104
A42.2,Шейно-лицевой актиномикоз,0104
A42.7,Актиномикозная септицемия,0104
A42.8,Другие актиномикозы,0104
A42.9,Актиномикоз неуточненный,0104
A43,Нокардиоз,0104
A43.0,Легочный нокардиоз,0104
A43.1,Нокардиоз кожи,0104
A43.8,Другие формы нокардиоза,0104
A43.9,Нокардиоз неуточненный,0104
A44,Бартонеллез,0104
A44.0,Системный бартонеллез,0104
A44.1,Кожный и кожно-слизистый бартонеллез,0104
A44.8,Другие бартонеллеза,0104
A44.9,Бартонеллез неуточненный,0104
A46,Рожа,0104
A46.9,Рожа,0104
A48,"Другие бактериальные болезни, не классифицированные в других рубриках",0104
A48.0,Газовая гангрена,0104
A48.1,Болезнь легионеров,0104
A48.2,Болезнь легионеров без пневмонии [лихорадка Понтиак],0104
A48.3,Синдром токсического шока,0104
A48.4,Бразильская пурпурная лихорадка,0104
A48.8,Другие уточненные бактериальные болезни,0104
A49,Бактериальная инфекция неуточненной локализации,0104
A49.0,Стафилококковая инфекция неуточненная,0104
A49.1,Стрептококковая инфекция неуточненная,0104
A49.2,"Инфекция, вызванная Haemophilus influenzae, неуточненная",0104
A49.3,"Инфекция, вызванная микоплазмой, неуточненная",0104
A49.8,Другие бактериальные инфекции неуточненной локализации,0104
A49.9,Бактериальная инфекция неуточненная,0104
A50,Врожденный сифилис,0105
A50.0,Ранний врожденный сифилис с симптомами,0105
A50.1,Ранний врожденный сифилис скрытый,0105
A50.2,Ранний врожденный сифилис неуточненный,0105
A50.3,Позднее врожденное сифилитическое поражение глаз,0105
A50.4,Поздний врожденный нейросифилис [ювенильный нейросифилис],0105
A50.5,Другие формы позднего врожденного сифилиса с симптомами,0105
A50.6,Поздний врожденный сифилис скрытый,0105
A50.7,Поздний врожденный сифилис неуточненный,0105
A50.9,Врожденный сифилис неуточненный,0105
A51,Ранний сифилис,0105
A51.0,Первичный сифилис половых органов,0105
A51.1,Первичный сифилис анальной области,0105
A51.2,Первичный сифилис других локализаций,0105
A51.3,Вторичный сифилис кожи и слизистых оболочек,0105
A51.4,Другие формы вторичного сифилиса,0105
A51.5,Ранний сифилис скрытый,0105
A51.9,Ранний сифилис неуточненный,0105
A52,Поздний сифилис,0105
A52.0,Сифилис сердечно-сосудистой системы,0105
A52.1,Нейросифилис с симптомами,0105
A52.2,Асимптомный нейросифилис,0105
A52.3,Нейросифилис неуточненный,0105
A52.7,Другие симптомы позднего сифилиса,0105
A52.8,Поздний сифилис скрытый,0105
A52.9,Поздний сифилис неуточненный,0105
A53,Другие и неуточненные формы сифилиса,0105
A53.0,"Скрытый сифилис, неуточненный как ранний или поздний",0105
A53.9,Сифилис неуточненный,0105
A54,Гонококковая инфекция,0105
A54.0,Гонококк.инф. нижн.отд. мочепол.тр. без абсцедир.периуретр.или придат.желез,0105
A54.1,Гонококк.инф. нижн.отд. мочепол.тр. с абсцедир.периуретр.или придат.желез,0105
A54.2,Гонококковый пельвиоперитонит и др. гонококковая инфекция мочеполовых орг.,0105
A54.3,Гонококковая инфекция глаз,0105
A54.4,Гонококковая инфекция костно-мышечной системы,0105
A54.5,Гонококковый фарингит,0105
A54.6,Гонококковая инфекция аноректальной области,0105
A54.8,Другие гонококковые инфекции,0105
A54.9,Гонококковая инфекция неуточненная,0105
A55,Хламидийная лимфогранулема (венерическая),0105
A55.9,Хламидийная лимфогранулема (венерическая),0105
A56,"Другие хламидийные болезни, передающиеся половым путем",0105
A56.0,Хламидийные инфекции нижних отделов мочеполового тракта,0105
A56.1,Хламидийные инфекции органов малого таза и других мочеполовых органов,0105
A56.2,Хламидийная инфекция мочеполового тракта неуточненная,0105
A56.3,Хламидийная инфекция аноректальной области,0105
A56.4,Хламидийный фарингит,0105
A56.8,"Хламидийные инфекции, передающиеся половым путем, другой локализации",0105
A57,Шанкроид,0105
A57.9,Шанкроид,0105
A58,Паховая гранулема,0105
A58.9,Паховая гранулема,0105
A59,Трихомоноз,0105
A59.0,Урогенитальный трихомоноз,0105
A59.8,Трихомоноз других локализаций,0105
A59.9,Трихомоноз неуточненный,0105
A60,Аногенитальная герпетическая вирусная инфекция [herpes simplex],0105
A60.0,Герпетические инфекции половых органов и мочеполового тракта,0105
A60.1,Герпетические инфекции перианальных кожных покровов и прямой кишки,0105
A60.9,Аногенитальная герпетическая инфекция неуточненная,0105
A63,"Другие болезни, передающиеся преимущественно половым путем, НКДР",0105
A63.0,Аногенитальные (венерические) бородавки,0105
A63.8,"Другие уточненные заболевания, передающиеся преимущественно половым путем",0105
A63.81,Уреаплазмоз,0105
A63.82,Микоплазмоз,0105
A63.83,Бактериальный вагиноз,0105
A64,"Болезни, передающиеся половым путем, неуточненные",0105
A64.9,"Болезни, передающиеся половым путем, неуточненные",0105
A65,Невенерический сифилис,0106
A65.9,Невенерический сифилис,0106
A66,Фрамбезия,0106
A66.0,Первичные фрамбезийные поражения,0106
A66.1,Множественные папилломы и пианома подошвенная,0106
A66.2,Другие ранние кожные кожные фрамбезийные поражения,0106
A66.3,Фрамбезийный гиперкератоз,0106
A66.4,Фрамбезийные гуммы и язвы,0106
A66.5,Гангоза,0106
A66.6,Фрамбезийные поражения костей и суставов,0106
A66.7,Другие проявления фрамбезии,0106
A66.8,Латентная фрамбезия,0106
A66.9,Фрамбезия неуточненная,0106
A67,Пинта [карате],0106
A67.0,Первичные поражения при пинте,0106
A67.1,Промежуточные поражения при пинте,0106
A67.2,Поздние поражения при пинте,0106
A67.3,Смешанные поражения при пинте,0106
A67.9,Пинта неуточненная,0106
A68,Возвратные лихорадки,0106
A68.0,Вшивая возвратная лихорадка,0106
A68.1,Эпидемический возвратный тиф,0106
A68.9,Возвратная лихорадка неуточненный,0106
A69,"Другие инфекции, вызванные спирохетами",0106
A69.0,Некротизирующий язвенный стоматит,0106
A69.1,Другие инфекции Венсана,0106
A69.2,Болезнь Лайма,0106
A69.8,Другие уточненные спирохетозные инфекции,0106
A69.9,Спирохетозная инфекция неуточненная,0106
A70,"Инфекция, вызываемая Chlamydia psittaci",0107
A70.9,"Инфекция, вызываемая Chlamydia psittaci",0107
A71,Трахома,0107
A71.0,Начальная стадия трахомы,0107
A71.1,Активная стадия трахомы,0107
A71.9,Трахома неуточненная,0107
A74,"Другие болезни, вызываемые хламидиями",0107
A74.0,Хламидийный конъюнктивит,0107
A74.8,Другие хламидийные болезни,0107
A74.9,Хламидийная инфекция неуточненная,0107
A75,Сыпной тиф,0108
A75.0,"Эпидемический вшивый тиф, вызванный Rickettsia prowazekii",0108
A75.1,Рецидивирующий тиф [болезнь Брилла],0108
A75.2,"Тиф, вызванный Rickettsia typhi",0108
A75.3,"Тиф, вызванный Rickettsia tsutsugamushi",0108
A75.9,Сыпной тиф неуточненный,0108
A77,Пятнистая лихорадка (клещевые риккетсиозы),0108
A77.0,"Пятнистая лихорадка, вызываемая Rickettsia rickettsii",0108
A77.1,"Пятнистая лихорадка, вызываемая Rickettsia conorii",0108
A77.2,"Пятнистая лихорадка, вызываемая Rickettsia siberica",0108
A77.3,"Пятнистая лихорадка, вызываемая Rickettsia australis",0108
A77.8,Другие пятнистые лихорадки,0108
A77.9,Пятнистая лихорадка неуточненная,0108
A78,Лихорадка Ку,0108
A78.9,Лихорадка Ку,0108
A79,Другие риккетсиозы,0108
A79.0,Окопная лихорадка,0108
A79.1,"Осповидный риккетсиоз, вызываемый Rickettsia akari",0108
A79.8,Другие уточненные риккетсиозы,0108
A79.9,Риккетсиоз неуточненный,0108
A80,Острый полиомиелит,0109
A80.0,"Острый паралитический полиомиелит, ассоциированный с вакциной",0109
A80.1,"Острый паралитический полиомиелит, вызванный диким завезенным вирусом",0109
A80.2,"Острый паралитический полиомиелит, вызванный диким природным вирусом",0109
A80.3,Острый паралитический полиомиелит другой и неуточненный,0109
A80.4,Острый непаралитический полиомиелит,0109
A80.9,Острый полиомиелит неуточненный,0109
A81,Медленные вирусные инфекции центральной нервной системы,0109
A81.0,Болезнь Крейтцфельдта-Якоба,0109
A81.1,Подострый склерозирующий панэнцефалит,0109
A81.2,Прогрессирующая многоочаговая лейкоэнцефалопатия,0109
A81.8,Другие медленные вирусные инфекции центральной нервной системы,0109
A81.9,Медленная вирусная инфекция центральной нервной системы неуточненная,0109
A82,Бешенство,0109
A82.0,Лесное бешенство,0109
A82.1,Городское бешенство,0109
A82.9,Бешенство неуточненное,0109
A83,Комариный вирусный энцефалит,0109
A83.0,Японский энцефалит,0109
A83.1,Западный лошадиный энцефалит,0109
A83.2,Восточный лошадиный энцефалит,0109
A83.3,Энцефалит Сент-Луис,0109
A83.4,Австралийский энцефалит,0109
A83.5,Калифорнийский энцефалит,0109
A83.6,"Болезнь, вызванная вирусом Роцио",0109
A83.8,Другие комариные вирусные энцефалиты,0109
A83.9,Комариный вирусный энцефалит неуточненный,0109
A84,Клещевой вирусный энцефалит,0109
A84.0,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит],0109
A84.1,Центральноевропейский клещевой энцефалит,0109
A84.8,Другие клещевые вирусные энцефалиты,0109
A84.9,Клещевой вирусный энцефалит неуточненный,0109
A85,"Другие вирусные энцефалиты, не классифицированные в других рубриках",0109
A85.0,Энтеровирусный энцефалит,0109
A85.1,Аденовирусный энцефалит,0109
A85.2,"Вирусный энцефалит, передаваемый членистоногими, неуточненный",0109
A85.8,Другие уточненные вирусные энцефалиты,0109
A86,Вирусный энцефалит неуточненный,0109
A86.9,Вирусный энцефалит неуточненный,0109
A87,Вирусный менингит,0109
A87.0,Энтеровирусный менингит,0109
A87.1,Аденовирусный менингит,0109
A87.2,Лимфоцитарный хориоменингит,0109
A87.8,Другой вирусный менингит,0109
A87.9,Вирусный менингит неуточненный,0109
A88,"Другие вирусные инфекции центральной нервной системы, НКДР",0109
A88.0,Энтеровирусная экзантематозная лихорадка [бостонская экзантема],0109
A88.1,Эпидемическое головокружение,0109
A88.8,Другие уточненные вирусные инфекции центральной нервной системы,0109
A89,Вирусная инфекция центральной нервной системы неуточненная,0109
A89.9,Вирусная инфекция центральной нервной системы неуточненная,0109
A90,Лихорадка денге [классическая лихорадка денге],0110
A90.9,Лихорадка денге [классическая лихорадка денге],0110
A91,"Геморрагическая лихорадка, вызванная вирусом денге",0110
A91.9,"Геморрагическая лихорадка, вызванная вирусом денге",0110
A92,Другие комариные вирусные лихорадки,0110
A92.0,"Болезнь, вызванная вирусом Чикунгунья",0110
A92.1,"Лихорадка О""Ньонг-Ньонг",0110
A92.2,Венесуэльская лошадиная лихорадка,0110
A92.3,Лихорадка Западного Нила,0110
A92.4,Лихорадка Рифт-Валли [долины Рифт],0110
A92.8,Другая уточненная комариная вирусная лихорадка,0110
A92.9,Комариная вирусная лихорадка неуточненная,0110
A93,"Другие вирусные лихорадки, передаваемые членистоногими, НКДР",0110
A93.0,"Болезнь, вызванная вирусом Оропуш",0110
A93.1,Москитная лихорадка,0110
A93.2,Колорадская клещевая лихорадка,0110
A93.8,"Другие уточненные вирусные лихорадки, передаваемые членистоногими",0110
A94,"Вирусная лихорадка, передаваемая членистоногими неуточненная",0110
A94.9,"Вирусная лихорадка, передаваемая членистоногими неуточненная",0110
A95,Желтая лихорадка,0110
A95.0,Лесная желтая лихорадка,0110
A95.1,Городская желтая лихорадка,0110
A95.9,Желтая лихорадка неуточненная,0110
A96,Ареновирусная геморрагическая лихорадка,0110
A96.0,Геморрагическая лихорадка Хунин,0110
A96.1,Геморрагическая лихорадка Мачупо,0110
A96.2,Лихорадка Ласса,0110
A96.8,Другие ареновирусные геморрагические лихорадки,0110
A96.9,Ареновирусная геморрагическая лихорадка неуточненная,0110
A98,"Другие вирусные геморрагические лихорадки, НКДР",0110
A98.0,Крымская геморрагическая лихорадка (вызванная вирусом Конго),0110
A98.1,Омская геморрагическая лихорадка,0110
A98.2,Кьясанурская лесная болезнь,0110
A98.3,"Болезнь, вызванная вирусом Марбург",0110
A98.4,"Болезнь, вызванная вирусом Эбола",0110
A98.5,Геморрагическая лихорадка с почечным синдромом,0110
A98.8,Другие уточненные вирусные геморрагические лихорадки,0110
A99,Вирусная геморрагическая лихорадка неуточненная,0110
A99.9,Вирусная геморрагическая лихорадка неуточненная,0110
B00,"Инфекции, вызванные вирусом герпеса [herpes simplex]",0111
B00.0,Герпетическая экзема,0111
B00.1,Герпетический везикулярный дерматит,0111
B00.2,Герпетический гингивостоматит и фаринготонзиллит,0111
B00.3,Герпетический менингит,0111
B00.4,Герпетический энцефалит,0111
B00.5,Герпетическая болезнь глаз,0111
B00.7,Диссеминированная герпетическая болезнь,0111
B00.8,Другие формы герпетических инфекций,0111
B00.9,Герпетическая инфекция неуточненная,0111
B01,Ветряная оспа [varicella],0111
B01.0,Ветряная оспа с менингитом,0111
B01.1,Ветряная оспа с энцефалитом,0111
B01.2,Ветряная оспа с пневмонией,0111
B01.8,Ветряная оспа с другими осложнениями,0111
B01.9,Ветряная оспа без осложнений,0111
B02,Опоясывающий лишай [herpes zoster],0111
B02.0,Опоясывающий лишай с энцефалитом,0111
B02.1,Опоясывающий лишай с менингитом,0111
B02.2,Опоясывающий лишай с другими осложнениями со стороны нервной системы,0111
B02.3,Опоясывающий лишай с глазными осложнениями,0111
B02.7,Диссеминированный опоясывающий лишай,0111
B02.8,Опоясывающий лишай с другими осложнениями,0111
B02.9,Опоясывающий лишай без осложнений,0111
B03,Оспа,0111
B03.9,Оспа,0111
B04,"Инфекции, вызванные вирусом обезьяньей оспы",0111
B04.9,"Инфекции, вызванные вирусом обезьяньей оспы",0111
B05,Корь,0111
B05.0,"Корь, осложненная энцефалитом",0111
B05.1,"Корь, осложненная менингитом",0111
B05.2,"Корь, осложненная пневмонией",0111
B05.3,"Корь, осложненная средним отитом",0111
B05.4,Корь с кишечными осложнениями,0111
B05.8,Корь с другими осложнениями,0111
B05.9,Корь без осложнений,0111
B06,Краснуха [немецкая корь],0111
B06.0,Краснуха с неврологическим осложнениями,0111
B06.8,Краснуха с другими осложнениями,0111
B06.9,Краснуха без осложнений,0111
B07,Вирусные бородавки,0111
B07.9,Вирусные бородавки,0111
B08,"Др. вирусные инфекции, характер. поражением кожи и слизистых оболочек, НКДР",0111
B08.0,"Другие инфекции, вызванные ортопоксвирусом",0111
B08.1,Контагиозный моллюск,0111
B08.2,Экзантема внезапная (шестая болезнь),0111
B08.3,Эритема инфекционная (пятая болезнь),0111
B08.4,Энтеровирусный везикулярный стоматит с экзантемой,0111
B08.5,Энтеровирусный везикулярный фарингит,0111
B08.8,"Другие уточн. инфекции, характер. поражением кожи и слизистых оболочек",0111
B09,"Вирусные инфекции, характер.поражениями кожи и слизистых оболочек, неуточн.",0111
B09.9,"Вирусные инфекции, характер.поражениями кожи и слизистых оболочек, неуточн.",0111
B15,Острый гепатит A,0112
B15.0,Гепатит A с печеночной комой,0112
B15.9,Гепатит A без печеночной комы,0112
B16,Острый гепатит B,0112
B16.0,Острый гепатит B с дельта-агентом (коинфекция) с печеночной комой,0112
B16.1,Острый гепатит B с дельта-агентом (коинфекция) без печеночной комы,0112
B16.2,Острый гепатит B без дельта-агента с печеночной комой,0112
B16.9,Острый гепатит B без дельта-агента и без печеночной комы,0112
B17,Другие острые вирусные гепатиты,0112
B17.0,Острая дельта(супер)-инфекция вирусоносителя гепатита B,0112
B17.1,Острый гепатит C,0112
B17.2,Острый гепатит E,0112
B17.8,Другие уточненные острые вирусные гепатиты,0112
B18,Хронический вирусный гепатит,0112
B18.0,Хронический вирусный гепатит B с дельта-агентом,0112
B18.1,Хронический вирусный гепатит B без дельта-агента,0112
B18.2,Хронический вирусный гепатит C,0112
B18.8,Другой хронический вирусный гепатит,0112
B18.9,Хронический вирусный гепатит неуточненный,0112
B19,Неуточненный вирусный гепатит,0112
B19.0,Неуточненный вирусный гепатит с комой,0112
B19.9,Неуточненный вирусный гепатит без печеночной комы,0112
B20,"Болезнь, вызв.вирусом иммунодефицита чел. [ВИЧ], проявл.в виде инфекц. бол.",0113
B20.0,"Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции",0113
B20.1,"Болезнь, вызванная ВИЧ, с проявлениями других бактериальных инфекций",0113
B20.2,"Болезнь, вызванная ВИЧ, с проявлениями цитомегаловирусного заболевания",0113
B20.3,"Болезнь, вызванная ВИЧ, с проявлениями других вирусных инфекций",0113
B20.4,"Болезнь, вызванная ВИЧ, с проявлениями кандидоза",0113
B20.5,"Болезнь, вызванная ВИЧ, с проявлениями других микозов",0113
